,Northern_Amazon,Central_Africa,Guinea_Coast,South_East_Brazil
0,MMM,MMM,MMM,MMM
1,ACCESS-ESM1-5,ACCESS-CM2,ACCESS-ESM1-5,ACCESS-CM2
2,CanESM5,ACCESS-ESM1-5,CMCC-CM2-SR5,ACCESS-ESM1-5
3,CMCC-CM2-SR5,BCC-CSM2-MR,CMCC-ESM2,GFDL-ESM4
4,CMCC-ESM2,CESM2,FIO-ESM-2-0,NESM3
5,EC-Earth3,CMCC-CM2-SR5,NorESM2-LM,FIO-ESM-2-0
6,EC-Earth3-CC,CMCC-ESM2,NorESM2-MM,CESM2
7,FIO-ESM-2-0,E3SM-1-0,E3SM-1-1-ECA,CESM2-WACCM
8,GISS-E2-1-H,E3SM-1-1-ECA,E3SM-1-1,CMCC-CM2-SR5
9,INM-CM5-0,E3SM-1-1,EC-Earth3-CC,CMCC-ESM2
10,IPSL-CM6A-LR,EC-Earth3,BCC-CSM2-MR,EC-Earth3-CC
11,MIROC6,EC-Earth3-CC,CAS-ESM2-0,MPI-ESM1-2-LR
12,MPI-ESM1-2-HR,FGOALS-g3,CESM2,MRI-ESM2-0
13,MRI-ESM2-0,FIO-ESM-2-0,CESM2-WACCM,NorESM2-LM
14,NorESM2-MM,IITM-ESM,MPI-ESM1-2-HR,NorESM2-MM
15,FGOALS-g3,INM-CM4-8,MPI-ESM1-2-LR,AWI-CM-1-1-MR
16,CESM2-WACCM,INM-CM5-0,NESM3,BCC-CSM2-MR
17,KACE-1-0-G,KACE-1-0-G,MIROC6,CAMS-CSM1-0
18,TaiESM1,MIROC6,AWI-CM-1-1-MR,FGOALS-g3
19,CESM2,MPI-ESM1-2-HR,EC-Earth3,E3SM-1-0
20,GFDL-ESM4,NorESM2-MM,KACE-1-0-G,MIROC6
21,BCC-CSM2-MR,CESM2-WACCM,E3SM-1-0,INM-CM5-0
22,CAMS-CSM1-0,CAS-ESM2-0,CAMS-CSM1-0,CanESM5
23,INM-CM4-8,MRI-ESM2-0,TaiESM1,E3SM-1-1-ECA
24,NESM3,NESM3,INM-CM4-8,INM-CM4-8
25,ACCESS-CM2,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR
26,GISS-E2-1-G,FGOALS-f3-L,GFDL-ESM4,EC-Earth3
27,E3SM-1-0,MPI-ESM1-2-LR,GISS-E2-1-G,CAS-ESM2-0
28,E3SM-1-1-ECA,AWI-CM-1-1-MR,GISS-E2-1-H,IPSL-CM6A-LR
29,E3SM-1-1,NorESM2-LM,FGOALS-g3,KACE-1-0-G
30,IITM-ESM,TaiESM1,IPSL-CM6A-LR,E3SM-1-1
31,AWI-CM-1-1-MR,CAMS-CSM1-0,CanESM5,FGOALS-f3-L
32,FGOALS-f3-L,GFDL-ESM4,INM-CM5-0,GISS-E2-1-H
33,MPI-ESM1-2-LR,GISS-E2-1-G,FGOALS-f3-L,GISS-E2-1-G
34,NorESM2-LM,GISS-E2-1-H,ACCESS-CM2,IITM-ESM
35,CAS-ESM2-0,CanESM5,IITM-ESM,TaiESM1
